business_id,act_code,act_descr,auth_cap
2654,4530,Bán phụ tùng và các bộ phận phụ trợ của ô tô và xe có động cơ khác,5000000000
2741,3100,"Sản xuất giường, tủ, bàn, ghế",10000000000
2765,4663,"Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng",3000000000
2800,4530,Bán phụ tùng và các bộ phận phụ trợ của ô tô và xe có động cơ khác,5000000000
2887,2599,Sản xuất sản phẩm khác bằng kim loại chưa được phân vào đâu,150000000000
2953,1702,"Sản xuất giấy nhăn, bìa nhăn, bao bì từ giấy và bìa",44500000000
3137,3100,"Sản xuất giường, tủ, bàn, ghế",10000000000
3341,6810,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",900000000
3365,2220,Sản xuất sản phẩm từ plastic,20000000000
3386,1399,Sản xuất các loại hàng dệt khác chưa được phân vào đâu,135900000000
3400,1010,"Chế biến, bảo quản thịt và các sản phẩm từ thịt",120000000000
3511,4662,Bán buôn kim loại và quặng kim loại,20000000000
3584,6810,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",5000000000
3745,2220,Sản xuất sản phẩm từ plastic,5000000000
3796,1702,"Sản xuất giấy nhăn, bìa nhăn, bao bì từ giấy và bìa",4000000000
3954,4742,Bán lẻ thiết bị nghe nhìn trong các cửa hàng chuyên doanh,2000000000
3963,2592,Gia công cơ khí; xử lý và tráng phủ kim loại,20000000000
3965,4669,Bán buôn chuyên doanh khác chưa được phân vào đâu,2000000000
3968,2599,Sản xuất sản phẩm khác bằng kim loại chưa được phân vào đâu,120000000000
4023,2599,Sản xuất sản phẩm khác bằng kim loại chưa được phân vào đâu,3000000000
4063,1629,"Sản xuất sản phẩm khác từ gỗ; sản xuất sản phẩm từ tre, nứa, rơm, rạ và vật liệu tết bện",5000000000
4100,4742,Bán lẻ thiết bị nghe nhìn trong các cửa hàng chuyên doanh,8000000000
4164,7830,Cung ứng và quản lý nguồn lao động,2000000000
4184,5621,Cung cấp dịch vụ ăn uống theo hợp đồng không thường xuyên với khách hàng,3000000000
4283,4933,Vận tải hàng hóa bằng đường bộ,1000000000
4358,4520,"Bảo dưỡng, sửa chữa ô tô và xe có động cơ khác",10000000000
4424,1622,Sản xuất đồ gỗ xây dựng,15000000000
4428,4511,Bán buôn ô tô và xe có động cơ khác,15000000000
4444,1629,"Sản xuất sản phẩm khác từ gỗ; sản xuất sản phẩm từ tre, nứa, rơm, rạ và vật liệu tết bện",8000000000
4545,5629,Dịch vụ ăn uống khác,500000000
4797,1391,"Sản xuất vải dệt kim, vải đan móc và vải không dệt khác",10000000000
4829,4773,Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh,1500000000
4865,4662,Bán buôn kim loại và quặng kim loại,3000000000
5029,7830,Cung ứng và quản lý nguồn lao động,2000000000
5037,4690,Bán buôn tổng hợp,1000000000
5162,4662,Bán buôn kim loại và quặng kim loại,1000000000
5197,3100,"Sản xuất giường, tủ, bàn, ghế",500000000
5349,2420,Sản xuất kim loại quý và kim loại màu,160000000000
5463,4620,"Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống",66000000000
5530,2410,"Sản xuất sắt, thép, gang",17900000000
